Date,Close,High,Low,Open,Volume
2010-01-04,6.440331935882568,6.455077737084846,6.391279445583416,6.422877648415861,493729600
2010-01-05,6.451465129852295,6.48787840981577,6.417458990809972,6.458085872315779,601904800
2010-01-06,6.348846912384033,6.477045767122851,6.342226169002906,6.45146602403412,552160000
2010-01-07,6.33711051940918,6.379844011980407,6.291067458325215,6.372320439028967,477131200
2010-01-08,6.379241466522217,6.379843754126937,6.2913689505515755,6.328684263710754,447610800
2010-01-11,6.322966575622559,6.409936656739424,6.2730108613843925,6.403917799170273,462229600
2010-01-12,6.251039981842041,6.312732448114064,6.211918625847251,6.295277365093311,594459600
2010-01-13,6.339216232299805,6.34764263282566,6.1421038718775645,6.255556925343339,605892000
2010-01-14,6.3025031089782715,6.333499826858838,6.290164851483697,6.322967226820972,432894000
2010-01-15,6.197174549102783,6.367805536404338,6.195368891923551,6.34764236456958,594067600
2010-01-19,6.471327781677246,6.475841925122603,6.236598349412447,6.26939991973662,730007600
2010-01-20,6.37171745300293,6.486674406258934,6.304608403474319,6.467414465836276,612152800
2010-01-21,6.261574745178223,6.419265602042172,6.2356944607414775,6.382250832690952,608154400
2010-01-22,5.951010704040527,6.244423253537827,5.933255873350913,6.222756164448503,881767600
2010-01-25,6.11110782623291,6.160159913204982,6.024438277446554,6.094255425129812,1065699600
2010-01-26,6.197475910186768,6.431303307369188,6.096361512083576,6.197776853070281,1867110000
2010-01-27,6.255856037139893,6.3371081843180415,6.004574016462286,6.224859329794546,1722568400
2010-01-28,5.9973530769348145,6.184234582331421,5.979598251090309,6.167081642230315,1173502400
2010-01-29,5.779776096343994,6.0849253109659465,5.725306646729277,6.05122051588178,1245952400
2010-02-01,5.86012601852417,5.898344957536001,5.756905029982434,5.789105111892288,749876400
2010-02-02,5.894132614135742,5.907975987482095,5.819500784189587,5.895637730422833,698342400
2010-02-03,5.995546817779541,6.024737871610872,5.850796525367367,5.873366836685999,615328000
2010-02-04,5.779476165771484,5.969667242555499,5.7650309076728465,5.920313414304272,757652000
2010-02-05,5.882093906402588,5.898344820199544,5.7433624677751185,5.796929491149744,850306800
2010-02-08,5.841768264770508,5.954920355107196,5.838156950905818,5.88901548424789,478270800
2010-02-09,5.904064178466797,5.943486495831083,5.8607292013274135,5.910985463873022,632886800
2010-02-10,5.871860980987549,5.9164001110762685,5.845980705236545,5.895032771691707,370361600
2010-02-11,5.978693962097168,6.011195384693153,5.839962537150459,5.864639446467659,550345600
2010-02-12,6.030154705047607,6.0680726986232685,5.883297816098785,5.961841886968793,655468800
2010-02-16,6.121037006378174,6.12976394618212,6.064460962784534,6.077100159166336,543737600
2010-02-17,6.095458984375,6.148423323825495,6.044600039695561,6.14481200928308,436396800
2010-02-18,6.106894493103027,6.135784609934059,6.046406175112895,6.067772317592677,422825200
2010-02-19,6.068974494934082,6.115017940261662,6.052122099739051,6.074692809990604,415469600
2010-02-22,6.031360149383545,6.093955075137377,5.9943453733714644,6.08914038992014,390563600
2010-02-23,5.930244445800781,6.0587442399448355,5.8896183633487045,6.018719641445511,575094800
2010-02-24,6.038581848144531,6.062054588549697,5.953717163709801,5.96545393570527,460566400
2010-02-25,6.078906536102295,6.104786817558812,5.9251283562312675,5.939874154055496,665126000
2010-02-26,6.15775203704834,6.174303493267834,6.078907013299251,6.090342440678554,507460800
2010-03-01,6.289262771606445,6.304610057249502,6.182730984746596,6.191758870735387,550093600
2010-03-02,6.285048961639404,6.344634048053501,6.251644701876662,6.317549589125614,566546400
2010-03-03,6.299492359161377,6.315743273901178,6.257662908021177,6.28775639099061,372052800
2010-03-04,6.341019630432129,6.347339428574958,6.2784247399194975,6.297986421678145,366041200
2010-03-05,6.588993549346924,6.61156386308845,6.458989040418914,6.468318269506473,899620400
2010-03-08,6.592906475067139,6.623300503022702,6.567928615803125,6.620893361581227,429889600
2010-03-09,6.711475849151611,6.771060943089277,6.557095739686336,6.569734941159027,920259200
2010-03-10,6.766243934631348,6.785504276995123,6.716890914495598,6.735849912217083,596218000
2010-03-11,6.786107063293457,6.786107063293457,6.720503514606205,6.738259147181756,405700400
2010-03-12,6.819209575653076,6.853214914769391,6.793629833356823,6.842380971390462,416323600
2010-03-15,6.736148834228516,6.78610332328398,6.62811239265682,6.782492813759633,493502800
2010-03-16,6.754508972167969,6.770458544717192,6.696127654389171,6.7463839153337695,446908000
2010-03-17,6.744576454162598,6.814694124969459,6.718997117059263,6.768049191444486,450956800
2010-03-18,6.760528087615967,6.771060688147811,6.699136936587427,6.743975825026897,342109600
2010-03-19,6.688302516937256,6.778282430330894,6.657606744547779,6.764740402337453,559445600
2010-03-22,6.763535976409912,6.801153431495038,6.6251054774418225,6.634735648802588,456419600
2010-03-23,6.87217378616333,6.884813386537162,6.743974535986026,6.790318933770984,602431200
2010-03-24,6.902568817138672,6.927546673963072,6.846594245991729,6.8505069051584115,597780400
2010-03-25,6.82071590423584,6.950720852451592,6.808678185812342,6.949215735855651,542284400
2010-03-26,6.94861364364624,6.980211444536653,6.877893263565323,6.889930980239324,640875200
2010-03-29,6.993452072143555,7.037990819887507,6.970280673114292,7.011809991714337,540744400
